,name,qtype,refer,Al,Ti,Li,Ge,Sr
2226,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,743.13,22.58,0.7,2.09,2.69
2227,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,381.34,31.1,1.34,1.91,2.06
2228,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,668.93,32.01,1.59,3.47,3.74
2229,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,695.28,31.07,1.62,3.69,3.96
2230,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,239.01,24.8,0.55,1.71,5.13
2231,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,400.26,41.52,0.82,1.46,3.61
2232,Petrackova hora Au (high temp.),IRG,Pacák et al. 2019,466.83,37.06,1.16,1.3,4.82
2233,Petrackova hora granite,granite,Pacák et al. 2019,158.1,70.35,1.08,0.57,0.63
2237,Petrackova hora granite,granite,Pacák et al. 2019,303.06,88.84,0.5,1.12,1.68
2459,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,380.51,8.1,2.61,1.85,0.96
2470,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,418.96,11.0,2.44,1.58,0.94
2484,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,328.96,10.97,2.43,1.85,1.38
2492,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,555.34,15.36,3.18,2.09,1.59
2498,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,447.32,13.9,2.36,1.77,1.34
2499,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,385.0,7.05,2.08,1.96,1.0
2562,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,232.83,27.85,0.94,1.37,0.4
2565,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,384.32,13.13,3.48,1.48,1.33
2570,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,309.11,24.51,0.51,1.35,0.3
2571,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,264.1,21.63,0.35,1.36,0.37
2581,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,136.86,30.84,0.38,1.42,0.74
2597,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,113.08,29.99,0.85,1.6,0.25
2598,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,105.46,25.05,0.89,1.48,0.5
2599,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,134.52,35.0,0.81,1.43,0.43
2600,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,157.85,32.58,0.72,1.54,0.51
2601,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,173.99,30.64,0.64,1.6,0.56
2602,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,265.54,28.71,0.39,1.43,0.9
2610,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,174.89,27.36,0.42,1.46,0.73
2612,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,368.31,13.17,1.32,1.98,8.38
2615,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,293.08,31.94,0.48,1.34,1.03
2620,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,79.08,33.38,0.51,1.48,0.55
2640,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,315.04,11.84,2.05,1.54,2.4
2650,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,370.2,10.27,0.83,1.83,3.8
2652,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,257.46,9.94,2.34,1.3,3.92
2659,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,281.39,11.35,0.62,1.89,3.07
2724,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,78.08,6.35,1.83,1.66,1.05
2727,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,130.62,7.11,2.34,1.59,0.52
2737,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,80.64,7.4,0.77,1.38,0.4
2801,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,600.73,7.41,0.91,1.46,1.49
2806,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,200.18,7.95,8.42,1.63,0.58
2807,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,439.6,5.02,2.41,3.63,1.35
2812,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,508.76,12.98,0.78,1.59,1.68
2818,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,232.11,5.57,2.29,1.54,1.49
2821,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,112.74,5.59,2.95,1.37,1.39
2822,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,219.18,7.64,1.94,1.82,1.32
2838,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,470.47,12.61,1.74,1.76,2.08
2853,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,77.75,6.42,0.45,3.95,6.01
2855,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,227.4,7.2,3.54,4.19,3.94
2857,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,198.53,6.42,3.37,4.29,2.49
2858,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,265.53,7.32,4.68,3.72,3.92
2860,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,296.7,7.27,6.9,3.66,3.61
2861,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,267.76,7.79,3.42,3.27,4.36
2877,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,57.3,6.89,0.66,1.63,3.43
2878,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,66.27,4.01,0.35,1.51,1.9
2880,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,128.71,7.94,1.44,1.96,1.76
2881,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,74.3,5.7,3.13,1.43,2.14
2882,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,67.4,6.76,1.84,1.51,3.4
2883,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,84.92,5.84,1.16,1.76,1.35
2884,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,82.13,5.39,0.53,1.53,3.9
2885,Mokrsko Au (high temp.),IRG,Pacák et al. 2019,87.42,7.2,1.16,1.37,3.38
2889,Mokrsko granite,granite,Pacák et al. 2019,480.73,42.0,0.72,0.76,3.25
2890,Mokrsko granite,granite,Pacák et al. 2019,480.73,42.0,0.72,0.76,3.25
2893,Mokrsko granite,granite,Pacák et al. 2019,443.99,47.32,0.53,0.63,1.79
2894,Mokrsko granite,granite,Pacák et al. 2019,366.62,84.65,0.72,0.56,4.63
2895,Mokrsko granite,granite,Pacák et al. 2019,198.49,59.8,2.64,0.68,3.4
2896,Mokrsko granite,granite,Pacák et al. 2019,342.42,82.43,0.39,0.61,2.49
2897,Mokrsko granite,granite,Pacák et al. 2019,352.47,60.59,1.17,0.66,2.8
2899,Mokrsko granite,granite,Pacák et al. 2019,336.96,75.71,0.35,0.62,1.98
2905,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,214.14,8.71,4.15,3.15,0.4
2906,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,245.87,12.43,8.35,3.06,0.32
2907,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,307.33,9.93,2.65,2.89,0.86
2908,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,370.12,14.47,3.58,2.83,0.66
2909,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,407.54,14.28,3.2,2.92,0.68
2910,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,260.67,11.3,7.89,3.17,0.35
2911,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,411.27,10.26,5.35,3.26,0.77
2912,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,417.8,8.82,2.22,3.05,0.99
2913,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,262.46,8.69,4.24,3.01,0.33
2914,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,339.55,11.25,4.21,2.98,1.17
2915,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,232.24,11.61,5.99,2.92,0.35
2916,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,242.48,10.49,3.47,3.03,1.84
2917,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,121.44,17.91,3.97,3.36,0.55
2918,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,405.73,15.02,2.61,2.66,0.59
2919,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,159.49,9.88,1.57,2.54,1.73
2920,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,135.15,5.11,0.53,2.88,2.16
2921,Mokrsko pegmatite,pegmatite,Pacák et al. 2019,257.11,15.3,4.36,3.71,0.99
3053,Orlovka granite,granite,Breiter et al. 2019,226.0,7.82,5.53,2.42,0.05
3059,Orlovka granite,granite,Breiter et al. 2019,69.0,12.5,14.9,0.71,0.09
3068,Orlovka granite,granite,Breiter et al. 2019,76.0,17.5,8.71,0.83,0.07
3073,Orlovka granite,granite,Breiter et al. 2019,117.0,18.3,11.1,0.74,0.04
3083,Orlovka granite,granite,Breiter et al. 2019,130.0,24.3,12.1,0.85,0.04
3091,Orlovka granite,granite,Breiter et al. 2019,106.0,30.9,12.8,0.62,0.03
3100,Orlovka granite,granite,Breiter et al. 2019,114.0,42.0,16.5,0.66,0.06
3102,Orlovka granite,granite,Breiter et al. 2019,121.0,45.9,11.5,0.59,0.04
3105,Orlovka granite,granite,Breiter et al. 2019,136.0,48.4,14.0,0.61,0.03
3108,Orlovka granite,granite,Breiter et al. 2019,119.0,57.9,17.6,0.62,0.03
3111,Orlovka granite,granite,Breiter et al. 2019,139.0,67.1,17.1,0.53,0.07
3120,Orlovka granite,granite,Breiter et al. 2019,131.0,88.8,23.1,0.55,0.03
3122,Orlovka granite,granite,Breiter et al. 2019,117.0,94.4,14.5,0.54,0.06
3124,Orlovka granite,granite,Breiter et al. 2019,166.0,109.0,19.6,0.51,0.05
3157,Orlovka pegmatite,pegmatite,Breiter et al. 2019,231.0,1.97,0.38,3.26,0.03
3323,Yata,carlin,Li et al. 2020,322.1089721337621,0.3944441067664335,8.307504069710193,5.552371512198254,0.8702138122268906
3324,Yata,carlin,Li et al. 2020,204.441590407521,0.0907446907282974,2.177957944534632,4.813755697907474,0.5981225664169065
3326,Yata,carlin,Li et al. 2020,45.7855960362536,0.08730734775284404,0.1227877519988391,2.633690909339571,0.3264489369616094
3327,Yata,carlin,Li et al. 2020,41.23400125147287,0.08393465784855413,0.04522364437869376,2.532917649759406,0.4076549323190981
3328,Yata,carlin,Li et al. 2020,73.37268947497714,0.07792908085881704,0.2947707019308023,2.627279880021197,0.6021031239170621
3329,Yata,carlin,Li et al. 2020,321.5523000205893,0.1078030226727376,3.049972837132721,3.223666698712835,0.41140807977759
3331,Yata,carlin,Li et al. 2020,108.2691926419712,0.1014078443032232,0.7633448523398557,2.839127629474969,0.3242243916147422
3332,Yata,carlin,Li et al. 2020,50.06729011020161,0.02821618944690963,0.04543256217016566,3.063827537666684,0.1925452106554508
3333,Yata,carlin,Li et al. 2020,380.0112858499094,0.2136048291186886,4.72556603364772,6.18921109061954,1.558590375898905
3334,Yata,carlin,Li et al. 2020,120.6838570486833,0.09919240512808239,1.606155714535889,4.376958837850044,0.5881183798311863
3336,Yata,carlin,Li et al. 2020,277.4650473078723,0.04393291316690221,6.577112126561984,4.250834773094294,0.9611891889759195
3337,Yata,carlin,Li et al. 2020,323.8864806998699,0.03969556333921697,8.277873504508333,3.838585077115001,1.265478595515857
3338,Yata,carlin,Li et al. 2020,408.5284569851751,0.04444921234325502,10.35662236358557,5.21885324770161,1.769629746836623
3339,Yata,carlin,Li et al. 2020,228.5643543088084,0.0277418764595197,5.411315006918882,4.288770152039489,0.6396016206234066
3340,Yata,carlin,Li et al. 2020,561.4835995607656,0.1618933932943623,12.11345821813866,3.671462555007826,1.627861312457242
3341,Yata,carlin,Li et al. 2020,547.327181854725,0.0346335366662465,12.14058281915802,3.754898304193962,1.44361418186064
3342,Yata,carlin,Li et al. 2020,347.9557301719469,0.1949997399696373,5.697554430896409,2.783181329983841,0.8255254244163519
3343,Yata,carlin,Li et al. 2020,360.6538420885377,0.1485897958844405,5.62185987257513,1.698338644280659,1.923970947713684
3344,Yata,carlin,Li et al. 2020,145.5519101065512,0.1125961618813698,0.9307192540460091,1.953330319756909,0.3497577410075812
3345,Yata,carlin,Li et al. 2020,95.41529013446458,0.06953602466652781,0.124802230319579,1.567143290883613,0.1963036885801935
3346,Yata,carlin,Li et al. 2020,124.3975847735456,0.08794511439200352,0.5863544837638621,2.270169921721226,0.800805333374395
3347,Yata,carlin,Li et al. 2020,283.9086001584338,0.09582530706376341,7.676089886722911,2.929689747770287,0.4267209278129898
3348,Yata,carlin,Li et al. 2020,203.239580741894,0.01101460357897349,1.070485198578188,1.100893820875438,0.1946824454690717
3349,Yata,carlin,Li et al. 2020,292.7975785217203,0.06715402137714889,6.06860834703222,2.49291096865699,0.8913978205219794
3350,Yata,carlin,Li et al. 2020,83.70175376323787,0.09237355250934023,0.168101772118218,2.193276493186418,0.0365569297463019
3351,Yata,carlin,Li et al. 2020,52.8612146523743,0.07733506662191707,0.5592711452903095,1.042526642831554,0.07466098844336899
3353,Yata,carlin,Li et al. 2020,94.43165198256047,0.03727330551073498,1.448113341585348,2.973592401203636,0.04505556460157687
3354,Yata,carlin,Li et al. 2020,136.1505294372298,0.1177143603098693,0.5389264847825109,3.866538384070351,0.05361421890934287
3355,Yata,carlin,Li et al. 2020,102.6472601714988,0.09636900712718102,1.136382803535161,2.902850501598083,0.1263909673554749
3357,Yata,carlin,Li et al. 2020,1012.419179172647,0.7544329303224634,25.0885811986357,11.97996956443257,2.06586770289423
3358,Yata,carlin,Li et al. 2020,561.6532178878547,0.2810045820104006,13.41339331459936,9.95203004243521,1.442413933213671
3359,Yata,carlin,Li et al. 2020,1422.593135732913,0.2572537411026621,36.32818273014599,7.945750718799054,1.729530326608504
3360,Yata,carlin,Li et al. 2020,1341.128961142926,0.5746392995102341,28.85322725957013,10.93492681394725,5.176598108675598
3361,Yata,carlin,Li et al. 2020,1952.581436086377,0.2531795307017033,83.9806004388096,7.642332545108619,1.787122774411697
3362,Yata,carlin,Li et al. 2020,1382.753263015199,0.1450842842726396,51.91875218739164,7.173824371391021,2.030353719527292
3363,Yata,carlin,Li et al. 2020,1391.593994310497,0.25159025500108,52.54870294045286,6.65868082963171,3.616366148516352
3364,Yata,carlin,Li et al. 2020,885.4205893288184,0.4139067408406117,26.09271586924793,5.320110749275577,1.189495497289821
3365,Yata,carlin,Li et al. 2020,845.8235109319239,0.227103338808033,28.66472509477897,6.068274580066691,2.630381702467872
3366,Yata,carlin,Li et al. 2020,950.3481644376325,0.2065401850461815,25.35372255422068,5.93236136538409,3.497583459397727
3367,Yata,carlin,Li et al. 2020,845.1911148689709,0.1230571845307746,18.32683252861531,6.123802714254817,2.968255420717398
3368,Yata,carlin,Li et al. 2020,2017.770373699036,0.01281584947135716,93.52699648194734,3.716740315400736,2.2757621591591
3369,Yata,carlin,Li et al. 2020,385.1411739480243,0.2422554803412997,12.58405324290142,4.904648142758013,0.07975485668875613
3370,Yata,carlin,Li et al. 2020,576.9100890959896,0.2815518880991077,15.14412908542654,5.509615029745584,0.2446033531634483
3371,Yata,carlin,Li et al. 2020,594.6646160874739,0.5013351207630984,16.18925197415132,7.475149060414862,0.2493710844573419
3372,Yata,carlin,Li et al. 2020,741.4402068047444,0.2770788620938143,41.21682680061039,4.168480199563303,0.01924510244039634
3373,Yata,carlin,Li et al. 2020,715.0492367502172,0.2790487896786329,29.41566637104313,3.624090021234397,0.1502057363217407
3374,Yata,carlin,Li et al. 2020,609.7718024827963,0.4985921934548592,19.18230872687505,6.882165604526418,0.0945993082830689
3375,Yata,carlin,Li et al. 2020,636.8463273627971,0.5300516905967905,18.65067168729514,7.200294478339687,0.2200217697797492
3376,Yata,carlin,Li et al. 2020,789.3528960782211,0.2087153666656746,26.52800534317198,3.560985759489795,0.05864393944443172
3377,Yata,carlin,Li et al. 2020,700.8180375716599,0.4823190956879042,22.00984150477064,7.355031487406468,0.09244506298824158
3378,Yata,carlin,Li et al. 2020,636.859412169615,0.393822716251147,18.10179548883514,6.169362085453994,0.1208584873934865
3379,Yata,carlin,Li et al. 2020,605.1004923906006,0.1451873629603968,26.73702971646141,4.892844727996448,0.2791645185723848
3380,Yata,carlin,Li et al. 2020,784.5101794660237,0.4609317584170893,22.87332770527396,7.39104473389237,0.2997645100600565
3381,Yata,carlin,Li et al. 2020,507.0199020713293,0.1841598114087042,21.77031623099459,2.378173176611229,0.3897327680535789
3382,Yata,carlin,Li et al. 2020,504.747749756167,0.3608271266207519,17.29386907851706,2.944939588404341,0.08092018921251463
3384,Yata,carlin,Li et al. 2020,688.8099488654789,0.5117793806882243,24.65118181499015,7.835649716991938,0.08106155605972266
3385,Yata,carlin,Li et al. 2020,595.9767749999653,0.400247872694667,20.36305311310144,10.5524966552037,0.3446772727669512
3386,Yata,carlin,Li et al. 2020,630.4832192510262,0.2288752342221016,30.2389078043057,4.510150834778042,0.04667145301902868
3387,Yata,carlin,Li et al. 2020,763.7493728076201,0.1809484345792062,32.82786749230132,3.058704089436217,0.00749388082261507
3388,Yata,carlin,Li et al. 2020,340.1524203506402,0.1965994287970272,10.17929982012872,1.775150434255141,0.0825455897816216
3389,Yata,carlin,Li et al. 2020,637.9366431619137,0.1643044961945119,22.71099290775595,3.0057169837388,0.4162003120676923
3390,Yata,carlin,Li et al. 2020,735.9034528158069,0.1456429870367747,28.78125324877563,2.953036208327024,1.321219943534971
3391,Yata,carlin,Li et al. 2020,715.8147440415705,0.510121055213258,16.04913134542018,4.877284211408888,0.5044169883185758
3393,Yata,carlin,Li et al. 2020,524.0991083459896,0.1134621502010099,16.81355063259686,4.698393395367194,1.100764300675882
3394,Yata,carlin,Li et al. 2020,2098.840505460409,0.4145304957496703,93.23960571620134,4.439166641567185,1.458239020566969
3395,Yata,carlin,Li et al. 2020,1414.181274047352,0.2995566746527625,70.68966560036449,2.904149382834516,0.0414010954473616
3396,Yata,carlin,Li et al. 2020,1362.308535392978,0.4038691967637295,52.10568102522824,3.140034950472763,0.03576513885074802
3397,Yata,carlin,Li et al. 2020,1542.958436675241,0.9329759545836973,40.65814479811852,4.314710636902753,0.1623162829987545
3398,Yata,carlin,Li et al. 2020,1626.107493521366,0.3484667060343209,50.18351602400564,7.605211390371283,0.4785139347672554
3399,Yata,carlin,Li et al. 2020,1738.2798278654,0.9635991666716357,48.65438585294691,9.319251493993251,0.02995996618212628
3400,Yata,carlin,Li et al. 2020,1621.849038110554,0.7232461143558221,46.48206503855629,10.05216442627616,0.03347207286862123
3401,Yata,carlin,Li et al. 2020,1785.002440002141,0.4131779892756947,48.36504505990928,11.76385048230284,0.1065076997200604
3402,Yata,carlin,Li et al. 2020,1890.983951975255,0.4915665341403868,33.25612029275558,10.96158299008188,0.08535132253623769
3403,Yata,carlin,Li et al. 2020,2547.242076524686,0.8428254249804081,79.71372041015809,7.65811524066274,0.2227186541253844
3404,Yata,carlin,Li et al. 2020,1751.183413786656,0.6037004914690627,64.5641010415837,10.54360452593847,0.1258855190881948
3405,Yata,carlin,Li et al. 2020,1538.750876025416,0.3502841829777517,58.06065228220621,9.483909332581325,0.3105522098902723
3406,Yata,carlin,Li et al. 2020,1672.189915726808,0.7395437425091574,74.2959841807657,7.378898231209395,0.003468860261634864
3407,Yata,carlin,Li et al. 2020,1996.626308842269,0.8810806348047342,98.25218615393877,3.82084384554588,0.01254929252107752
3408,Yata,carlin,Li et al. 2020,1644.631418964018,0.7683092526225439,83.49289694633785,3.94785313547959,0.00127116005910711
3409,Yata,carlin,Li et al. 2020,1778.747517995411,0.8448928918109523,87.8927458351432,3.476454746933376,0.4555494076830324
3412,Yata,carlin,Li et al. 2020,887.553787413648,0.4201905397399852,36.07378066579371,2.106950772883688,0.3149913271594211
3413,Yata,carlin,Li et al. 2020,1002.865835485516,0.5530378394792257,39.02419339063038,2.838952056016752,0.04992956275981189
3414,Yata,carlin,Li et al. 2020,1028.298674329014,0.6788391806946944,33.01528834190416,3.30510315457268,0.05906548641486387
3415,Yata,carlin,Li et al. 2020,1002.465891565981,1.017430344392193,29.86726371838312,4.10709803014095,0.04377464928409951
3416,Yata,carlin,Li et al. 2020,1081.840608582946,0.7683536644724726,30.38312234103836,3.558399642582641,0.1234052692985581
3417,Yata,carlin,Li et al. 2020,1042.278398911893,0.6370167395602975,29.84138355252244,3.376730682508856,0.01583471140379961
3418,Yata,carlin,Li et al. 2020,883.6446048358613,0.2942492615523771,31.5089805811036,2.131654885183603,0.05540935789426946
3419,Yata,carlin,Li et al. 2020,840.6951254484308,0.3667933924961647,24.64910619086592,2.174939350333225,0.009728668336931763
3420,Yata,carlin,Li et al. 2020,895.1961024252419,0.4422395753087567,35.72188143461103,2.466732695476161,0.02240173348183023
3421,Yata,carlin,Li et al. 2020,920.2431317420146,0.5325160400374079,28.80132901989956,2.868599418312997,0.02369754077191045
3422,Yata,carlin,Li et al. 2020,821.3437040294773,0.3556525798104606,31.29189905593287,1.789586947572336,0.0639452967387303
3423,Yata,carlin,Li et al. 2020,402.5291181938021,0.1068999145352567,14.09634837406348,0.9972313892331518,0.1544803535737383
3424,Yata,carlin,Li et al. 2020,1224.261896169184,1.533187086082555,28.25427987061429,3.011348137964154,0.04380771284786875
3425,Yata,carlin,Li et al. 2020,872.5956157095081,0.4329311540496747,25.70262151807006,2.788672868824577,0.001492285515272908
3426,Yata,carlin,Li et al. 2020,929.9504611660348,0.8867289696703898,22.33179366403294,3.332980490820318,0.0006716972857784479
3427,Yata,carlin,Li et al. 2020,932.2083136256537,0.7358689000032543,21.40395393603953,3.670288825064167,0.002424504336583163
3428,Yata,carlin,Li et al. 2020,886.7519223055798,0.4216759267819695,31.70355375981667,2.853949794539563,0.008946564635661727
3429,Yata,carlin,Li et al. 2020,803.644114606728,0.7881107895358705,24.9726156188097,4.182935591373658,0.004155000463089497
3432,Yata,carlin,Li et al. 2020,790.994525348963,0.7039442740511831,14.46724569452821,3.88806848108982,0.01699771375027127
3433,Yata,carlin,Li et al. 2020,723.0224686506343,0.7927527385682762,11.59991810781128,4.03873952757495,0.01996665992977085
3435,Yata,carlin,Li et al. 2020,991.0141686660812,0.4933840012039951,24.87760900195405,2.750826437649757,0.003028028641217618
3436,Yata,carlin,Li et al. 2020,1098.639887060489,1.058688866544562,26.66437175537121,3.582127014133762,0.01667728193033441
3439,Yata,carlin,Li et al. 2020,720.82893323348,0.2318820567838124,42.14718887705956,2.066364948686136,0.001989619497167327
3440,Yata,carlin,Li et al. 2020,733.2403629248665,0.4799215177144078,38.43256001197271,3.1649803261842,0.0007805567858387313
3441,Yata,carlin,Li et al. 2020,730.4589233235171,0.6817049935923812,36.97495467895385,3.570364029882858,0.01031151387352896
3442,Yata,carlin,Li et al. 2020,1110.121205797004,0.9288932638495004,59.9945973807832,3.125821098566516,0.006419116846376945
3443,Yata,carlin,Li et al. 2020,793.85927756866,0.345568558771893,27.59954598764752,2.052924766173216,0.0121961382137082
3444,Yata,carlin,Li et al. 2020,658.7007396451381,0.5914923864195116,20.343036527871,3.072299037777658,0.005474414505342812
3446,Yata,carlin,Li et al. 2020,2577.358912425817,0.1365042947159244,51.15871157131933,3.638665638627055,0.1155883103069507
3447,Yata,carlin,Li et al. 2020,2744.7390902903,0.2045681187722403,41.21436266401043,1.869818269504043,0.004211932927535163
3448,Yata,carlin,Li et al. 2020,2331.542301077581,0.2678881609636651,71.24434684897184,8.478314474206877,0.005485153039762911
3449,Yata,carlin,Li et al. 2020,2449.51715119714,0.6174721672740601,91.94652666140516,11.68519061403351,0.01669858327514969
3450,Yata,carlin,Li et al. 2020,2419.931753224552,0.5066731135633831,96.61636884802793,11.99106222868317,0.02023177316204884
3451,Yata,carlin,Li et al. 2020,2411.591044988731,0.5504105865064693,92.89874269223503,12.59931869755752,0.0189456321987536
3452,Yata,carlin,Li et al. 2020,2339.940841348016,0.6067738283301717,89.61760634972782,12.05605611481855,0.01168089921109863
3453,Yata,carlin,Li et al. 2020,2495.644797311988,0.7564066032310248,84.57649433612909,9.755143479395926,0.02646673573547814
3454,Yata,carlin,Li et al. 2020,2342.484082696261,0.8646596289132293,75.82283417617302,10.36690595846239,0.03486170110670973
3455,Yata,carlin,Li et al. 2020,2096.33793590501,0.7625600117522834,62.21146974318326,12.2333653000609,0.4819634673615629
3456,Yata,carlin,Li et al. 2020,3105.098542942085,0.05331737399904374,42.31089491289949,0.7904184985632865,0.002338915230073141
3458,Yata,carlin,Li et al. 2020,2699.687366287297,0.09590346274950967,109.3040223957652,1.686615034459564,0.005197401722959545
3459,Yata,carlin,Li et al. 2020,2574.270717565177,0.07170604377826585,124.9896058438888,6.278502121842449,0.01207748966633298
3460,Yata,carlin,Li et al. 2020,2177.321269763941,0.4214450687879624,82.12378536335981,10.34940584648864,0.02531109906525451
3461,Yata,carlin,Li et al. 2020,2375.898104746514,0.6830637081781897,103.1100940965813,10.07513678426527,0.03163261764151384
3462,Yata,carlin,Li et al. 2020,2417.980211450288,0.6670010910677181,96.92417402959103,9.633037136866829,0.02859151814631761
3463,Yata,carlin,Li et al. 2020,2315.875482744016,0.1262229862885961,62.54802602426723,4.775281357202304,0.00438236852680759
3464,Yata,carlin,Li et al. 2020,2425.395724598703,0.08864654999374892,33.13519271201591,2.54643273159019,0.037220544389383
3465,Yata,carlin,Li et al. 2020,2909.37810411393,0.005279827747262668,36.17508592350021,1.852741060183327,0.01531941829814218
3668,Gutaishan,orogenic,Feng et al. 2020,283.0,1.23,3.234,12.239,1.481
3669,Gutaishan,orogenic,Feng et al. 2020,92.02,0.229,0.746,6.622,0.267
3670,Gutaishan,orogenic,Feng et al. 2020,86.867,0.192,2.074,7.19,0.063
3671,Gutaishan,orogenic,Feng et al. 2020,81.7,0.139,0.879,8.92,0.123
3672,Gutaishan,orogenic,Feng et al. 2020,3027.0,1.185,3.809,10.554,9.573
3673,Gutaishan,orogenic,Feng et al. 2020,3054.0,2.479,10.016,14.717,8.316
3674,Gutaishan,orogenic,Feng et al. 2020,3315.0,3.563,11.957,15.661,3.811
3675,Gutaishan,orogenic,Feng et al. 2020,2132.0,0.615,22.469,17.025,2.348
3676,Gutaishan,orogenic,Feng et al. 2020,2279.0,0.656,23.275,21.605,1.351
3677,Gutaishan,orogenic,Feng et al. 2020,2470.0,1.097,24.025,35.855,1.041
3678,Gutaishan,orogenic,Feng et al. 2020,3380.0,0.88,10.779,10.436,16.19
3679,Gutaishan,orogenic,Feng et al. 2020,3209.0,1.063,1.106,9.466,8.135
3680,Gutaishan,orogenic,Feng et al. 2020,2524.0,1.051,8.368,11.243,5.283
3681,Gutaishan,orogenic,Feng et al. 2020,2974.0,0.68,8.061,12.149,33.619
3682,Gutaishan,orogenic,Feng et al. 2020,3237.0,0.673,3.323,10.753,16.508
3683,Gutaishan,orogenic,Feng et al. 2020,126.0,0.123,0.129,6.388,2.091
3684,Gutaishan,orogenic,Feng et al. 2020,418.0,0.228,6.674,8.425,3.006
3685,Gutaishan,orogenic,Feng et al. 2020,98.706,0.328,0.252,5.204,0.952
3686,Gutaishan,orogenic,Feng et al. 2020,65.994,2.948,0.227,4.962,1.401
3687,Gutaishan,orogenic,Feng et al. 2020,132.0,0.241,0.748,5.594,2.817
3688,Gutaishan,orogenic,Feng et al. 2020,96.347,0.476,0.235,8.189,0.547
3689,Gutaishan,orogenic,Feng et al. 2020,54.629,0.441,0.066,5.163,1.138
3690,Gutaishan,orogenic,Feng et al. 2020,24.52,0.124,0.054,6.098,1.057
3691,Gutaishan,orogenic,Feng et al. 2020,55.573,0.209,0.097,6.499,0.712
